metric,domain,series,case,mean,std,count
steps,IS_BT_Acquisition,MiPN_general,case4,22.446000,19.822842,1000
steps,IS_BT_Acquisition,MiPN_general,case5,34.164000,26.346140,1000
steps,IS_BT_Acquisition,MiPN_general,case6,27.497000,19.644745,1000
steps,IS_BT_Acquisition,Transformer_expert,case1,23.652000,20.486847,1000
steps,IS_BT_Acquisition,Transformer_expert,case2,22.674000,18.286381,1000
steps,IS_BT_Acquisition,Transformer_expert,case3,21.849000,19.432246,1000
steps,IS_BT_Acquisition,Transformer_expert,case4,19.521000,18.326526,1000
steps,IS_BT_Acquisition,Transformer_expert,case5,26.004000,20.585286,1000
steps,IS_BT_Acquisition,Transformer_expert,case6,25.368000,18.825583,1000
steps,IS_BT_Acquisition,Transformer_general,case1,35.466000,26.026503,1000
steps,IS_BT_Acquisition,Transformer_general,case2,43.343000,21.530103,1000
steps,IS_BT_Acquisition,Transformer_general,case3,42.807000,20.455213,1000
steps,IS_BT_Acquisition,Transformer_general,case4,43.577000,22.074874,1000
steps,IS_BT_Acquisition,Transformer_general,case5,40.330000,20.009575,1000
steps,IS_BT_Acquisition,Transformer_general,case6,50.112000,20.792486,1000
steps,Grocery,MiPN_expert,case1,46.313000,24.472822,1000
steps,Grocery,MiPN_expert,case2,44.138000,28.852573,1000
steps,Grocery,MiPN_expert,case3,40.873000,26.541117,1000
steps,Grocery,MiPN_expert,case4,48.518000,24.378837,1000
steps,Grocery,MiPN_expert,case5,43.766000,27.010132,1000
steps,Grocery,MiPN_expert,case6,43.132000,24.153397,1000
steps,Grocery,MiPN_general,case1,33.009000,23.614718,1000
steps,Grocery,MiPN_general,case2,54.244000,22.559443,1000
steps,Grocery,MiPN_general,case3,37.673000,21.960921,1000
steps,Grocery,MiPN_general,case4,40.721000,24.936663,1000
steps,Grocery,MiPN_general,case5,46.283000,28.136931,1000
steps,Grocery,MiPN_general,case6,34.825000,24.184383,1000
steps,Grocery,Transformer_expert,case1,20.636000,17.297037,1000
steps,Grocery,Transformer_expert,case2,34.659000,22.101509,1000
steps,Grocery,Transformer_expert,case3,31.312000,24.344089,1000
steps,Grocery,Transformer_expert,case4,35.851000,24.075024,1000
steps,Grocery,Transformer_expert,case5,30.490000,24.788826,1000
steps,Grocery,Transformer_expert,case6,29.615000,23.218974,1000
steps,Grocery,Transformer_general,case1,40.687000,24.044148,1000
steps,Grocery,Transformer_general,case2,44.867000,20.335076,1000
steps,Grocery,Transformer_general,case3,49.006000,21.480036,1000
steps,Grocery,Transformer_general,case4,50.096000,19.400433,1000
steps,Grocery,Transformer_general,case5,53.676000,19.053111,1000
steps,Grocery,Transformer_general,case6,51.397000,19.587889,1000
steps,thompson,MiPN_expert,case1,54.005000,26.235796,1000
steps,thompson,MiPN_expert,case2,54.579000,23.841471,1000
steps,thompson,MiPN_expert,case3,51.952000,24.937035,1000
steps,thompson,MiPN_expert,case4,45.865000,28.179758,1000
steps,thompson,MiPN_expert,case5,57.002000,20.348759,1000
steps,thompson,MiPN_expert,case6,51.346000,23.789289,1000
steps,thompson,MiPN_general,case1,52.584000,23.313707,1000
steps,thompson,MiPN_general,case2,45.867000,23.992193,1000
steps,thompson,MiPN_general,case3,25.945000,23.119991,1000
steps,thompson,MiPN_general,case4,25.522000,20.733198,1000
steps,thompson,MiPN_general,case5,51.135000,23.213461,1000
steps,thompson,MiPN_general,case6,45.323000,21.715402,1000
steps,thompson,Transformer_expert,case1,42.099000,22.390516,1000
steps,thompson,Transformer_expert,case2,44.706000,20.707911,1000
steps,thompson,Transformer_expert,case3,41.529000,21.449969,1000
steps,thompson,Transformer_expert,case4,43.404000,20.825052,1000
steps,thompson,Transformer_expert,case5,44.562000,21.864770,1000
steps,thompson,Transformer_expert,case6,45.185000,21.366300,1000
steps,thompson,Transformer_general,case1,45.903000,21.181869,1000
steps,thompson,Transformer_general,case2,47.136000,19.083645,1000
steps,thompson,Transformer_general,case3,44.655000,20.360206,1000
steps,thompson,Transformer_general,case4,48.137000,19.539811,1000
steps,thompson,Transformer_general,case5,49.395000,19.809265,1000
steps,thompson,Transformer_general,case6,48.150000,21.306231,1000
steps,Car,MiPN_expert,case1,9.092000,15.468792,1000
steps,Car,MiPN_expert,case2,18.843000,24.411890,1000
steps,Car,MiPN_expert,case3,42.905000,21.506743,1000
steps,Car,MiPN_expert,case4,39.414000,23.959896,1000
steps,Car,MiPN_expert,case5,42.299000,25.797046,1000
steps,Car,MiPN_expert,case6,35.021000,21.230934,1000
steps,Car,MiPN_general,case1,16.582000,21.778643,1000
steps,Car,MiPN_general,case2,38.837000,30.828630,1000
steps,Car,MiPN_general,case3,38.593000,22.839338,1000
steps,Car,MiPN_general,case4,40.653000,23.239376,1000
steps,Car,MiPN_general,case5,38.229000,27.144991,1000
steps,Car,MiPN_general,case6,33.462000,22.708161,1000
steps,Car,Transformer_expert,case1,38.136000,16.749314,1000
steps,Car,Transformer_expert,case2,37.947000,26.690863,1000
steps,Car,Transformer_expert,case3,36.450000,20.258221,1000
steps,Car,Transformer_expert,case4,40.527000,25.261339,1000
steps,Car,Transformer_expert,case5,29.052000,24.322239,1000
steps,Car,Transformer_expert,case6,28.695000,20.487117,1000
steps,Car,Transformer_general,case1,38.859000,16.639805,1000
steps,Car,Transformer_general,case2,40.077000,23.894415,1000
steps,Car,Transformer_general,case3,41.823000,17.226249,1000
steps,Car,Transformer_general,case4,33.465000,18.609911,1000
steps,Car,Transformer_general,case5,34.224000,17.638759,1000
steps,Car,Transformer_general,case6,43.353000,25.325331,1000
steps,EnergySmall_A,MiPN_expert,case1,38.962000,31.631291,1000
steps,EnergySmall_A,MiPN_expert,case2,40.661000,34.900431,1000
steps,EnergySmall_A,MiPN_expert,case3,53.431000,25.609085,1000
steps,EnergySmall_A,MiPN_expert,case4,47.030000,21.229392,1000
steps,EnergySmall_A,MiPN_expert,case5,57.851000,24.399074,1000
steps,EnergySmall_A,MiPN_expert,case6,46.457000,20.275161,1000
steps,EnergySmall_A,MiPN_general,case1,17.761000,23.387729,1000
steps,EnergySmall_A,MiPN_general,case2,38.960000,31.421400,1000
steps,EnergySmall_A,MiPN_general,case3,46.327000,21.063620,1000
steps,EnergySmall_A,MiPN_general,case4,47.604000,21.666822,1000
steps,EnergySmall_A,MiPN_general,case5,50.411000,24.467817,1000
steps,EnergySmall_A,MiPN_general,case6,45.932000,21.062131,1000
steps,EnergySmall_A,Transformer_expert,case1,46.191000,19.678580,1000
steps,EnergySmall_A,Transformer_expert,case2,49.185000,19.524210,1000
steps,EnergySmall_A,Transformer_expert,case3,46.194000,20.846783,1000
steps,EnergySmall_A,Transformer_expert,case4,48.111000,21.429668,1000
steps,EnergySmall_A,Transformer_expert,case5,44.937000,21.784330,1000
steps,EnergySmall_A,Transformer_expert,case6,47.999000,20.814202,1000
steps,EnergySmall_A,Transformer_general,case1,47.857000,19.958972,1000
steps,EnergySmall_A,Transformer_general,case2,48.262000,20.469571,1000
